name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tampa bay,2022-07-01,89.6,78.4,83.7,100.1,78.4,88.9,72.9,70.2,0.004,100,4.17,rain,0,0,12.1,11.2,189.1,1018.3,63.5,9.9,223.3,19.1,9,75,2022-07-01T06:37:12,2022-07-01T20:30:17,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-02,89.8,80.3,83,100,84.7,88.8,72.9,71.9,0,0,0,rain,0,0,32.2,13.6,148.9,1017.8,74.5,9.9,133.3,11,7,100,2022-07-02T06:37:34,2022-07-02T20:30:16,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-03,90,78.3,82.7,99.4,78.3,87.5,73.4,73.9,0,0,0,,0,0,31.1,10,155.2,1018.7,69,9.9,163.6,13.9,9,75,2022-07-03T06:37:58,2022-07-03T20:30:14,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-04,92.6,77.4,84.1,101.9,77.4,89.6,73.1,70.4,0,0,0,,0,0,17.2,10.5,251.6,1018.9,48.7,9.8,225.8,18.9,10,75,2022-07-04T06:38:22,2022-07-04T20:30:11,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-05,92.9,81.3,86.1,103.3,86.8,94.2,74.4,68.8,0.01,100,4.17,rain,0,0,14.8,9,343.4,1017.7,52,9.7,269.8,22.9,10,100,2022-07-05T06:38:47,2022-07-05T20:30:06,0.22,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-06,94.2,80.3,86.1,105.8,85,94.8,74.9,70.1,0.043,100,8.33,rain,0,0,42.5,11.9,147.8,1016.4,52.2,9.7,248.3,21,10,100,2022-07-06T06:39:12,2022-07-06T20:30:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-07,91.8,80.6,84.9,103.8,86,93.3,75.4,73.8,0.035,100,12.5,rain,0,0,25.3,13.4,189.2,1016.7,66.4,9.8,236.5,20.1,10,100,2022-07-07T06:39:38,2022-07-07T20:29:53,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-08,93.3,80,85.6,103.5,80,93.4,74.5,70.3,0.156,100,8.33,rain,0,0,8.5,12.6,209.7,1018,47,9.9,249,20.9,10,100,2022-07-08T06:40:05,2022-07-08T20:29:45,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-09,91.3,80.4,85.9,103,85.7,94.4,74.8,70.2,0,0,0,rain,0,0,31.1,13.9,246.4,1018.1,58.8,9.9,227.7,19.3,9,60,2022-07-09T06:40:32,2022-07-09T20:29:35,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-10,91.7,81,85.7,105.3,86.3,94.6,75.2,71.4,0.723,100,25,rain,0,0,42.5,14.1,228.6,1015.4,77.6,8.8,220.7,18.8,9,100,2022-07-10T06:41:00,2022-07-10T20:29:23,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
