name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
charlotte,2016-09-17,84.9,66,75.5,85.8,66,75.8,64,69.2,0,0,0,,0,0,,8.7,83.6,1020.8,48.4,9.6,264.5,22.7,9,,2016-09-17T07:07:55,2016-09-17T19:26:46,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-18,88.2,66.2,77.5,90.1,66.2,78.3,65.1,68.1,0,0,0,,0,0,,6.7,107,1016.6,66.7,9.8,188.6,16.3,7,,2016-09-18T07:08:40,2016-09-18T19:25:19,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-19,88.4,73.2,79.1,91.5,73.2,80.2,67.8,69.6,0.001,100,4.17,rain,0,0,23,14.4,46.8,1014,77.9,9.9,149,12.7,7,,2016-09-19T07:09:24,2016-09-19T19:23:52,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-20,86.8,68.2,77,87,68.2,77.2,63.3,64.7,0,0,0,,0,0,22.2,16.7,24.2,1017.2,56.8,9.9,223.2,19.3,7,,2016-09-20T07:10:09,2016-09-20T19:22:25,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-21,79.8,71,75.2,79.8,71,75.2,63.1,66.4,0.012,100,12.5,rain,0,0,28.7,18.5,17.1,1017.5,70.4,9.9,104.7,9.1,3,,2016-09-21T07:10:53,2016-09-21T19:20:58,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-22,81.1,70,73.2,83.6,70,73.3,65.7,77.7,0.019,100,62.5,rain,0,0,18.3,13,13.3,1017.3,84.3,9.2,206.1,17.7,8,,2016-09-22T07:11:38,2016-09-22T19:19:31,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-23,85.4,71.1,76.2,87.1,71.1,76.6,66,72.3,0.001,100,4.17,rain,0,0,,9,21.6,1017.1,73.7,9.9,228.2,19.6,8,,2016-09-23T07:12:23,2016-09-23T19:18:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-24,92.9,64.9,78.1,92.6,64.9,78.2,62.8,64.4,0,0,0,,0,0,,7.4,85.9,1017.3,16.7,9.8,256.5,22.1,9,,2016-09-24T07:13:08,2016-09-24T19:16:37,0.78,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-25,88.6,66.1,77.9,90.9,66.1,78.9,65.9,68.1,0,0,0,,0,0,23,8.8,76.8,1018.3,39.9,9.9,242.9,21.1,8,,2016-09-25T07:13:54,2016-09-25T19:15:11,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-26,83.2,67.6,75,86.8,67.6,75.6,68,79.9,3.019,100,58.33,rain,0,0,21.9,9.9,130.8,1017.9,86.8,8,191.1,16.5,7,,2016-09-26T07:14:39,2016-09-26T19:13:44,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-27,83.9,67.9,73.5,86.1,67.9,73.9,66.9,80.9,0.408,100,25,rain,0,0,,8.3,203.5,1013.7,86,9.3,181.5,15.5,7,,2016-09-27T07:15:25,2016-09-27T19:12:18,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-28,85.9,66.5,74.5,88.2,66.5,75.1,65.7,75.8,0.101,100,16.67,rain,0,0,20.8,11.9,188.3,1012.3,56.4,9.6,223.7,19.4,8,,2016-09-28T07:16:11,2016-09-28T19:10:52,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-29,82,67.6,73.3,83.8,67.6,73.5,66,79.1,0,0,0,,0,0,20.8,12.6,111.7,1013.4,61.9,8.4,233.8,20,8,,2016-09-29T07:16:57,2016-09-29T19:09:26,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-09-30,80.2,62.2,71.5,79.4,62.2,71.4,57.7,66.6,0.057,100,8.33,rain,0,0,20.1,13.3,172.4,1014.7,42.8,8.6,242.8,21,8,,2016-09-30T07:17:43,2016-09-30T19:08:01,0,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-10-01,79.2,52.9,65.8,79.2,52.9,65.8,51.5,64,0.001,100,4.17,rain,0,0,16.1,8.6,238.4,1017.3,13.8,9.9,246.4,21.2,8,,2016-10-01T07:18:29,2016-10-01T19:06:36,0.02,Rain,Clear conditions throughout the day with early morning rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-10-02,81,54.3,67.5,80.3,54.3,67.4,54.2,66.4,0,0,0,,0,0,,5.4,322.3,1017.4,41.1,9.9,237.9,20.5,8,,2016-10-02T07:19:16,2016-10-02T19:05:11,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-10-03,81.7,60.8,71,81.1,60.8,71,56.5,62.8,0,0,0,,0,0,20.8,9.8,50.9,1016.4,63.5,9.9,168.6,14.7,7,,2016-10-03T07:20:03,2016-10-03T19:03:47,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-10-04,79.7,62,70.8,79.7,62,70.8,56.7,62.9,0,0,0,,0,0,25.3,11.9,59.7,1019.5,42.2,9.9,227.5,19.7,8,,2016-10-04T07:20:50,2016-10-04T19:02:23,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
charlotte,2016-10-05,71.8,57.9,65.5,71.8,57.9,65.5,55.5,71,0,0,0,,0,0,24.2,15.3,29.7,1022,67.9,9.9,179.8,15.5,7,,2016-10-05T07:21:38,2016-10-05T19:00:59,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF"
